"trial","ref_position","var_area","response","correct","rt"
1,"L",9.84309533052146,"R",TRUE,2.89400005340576
2,"R",9.37764542642981,"R",FALSE,1.96499991416931
3,"R",12.9322126526386,"L",TRUE,1.41699981689453
4,"R",14.869138891343,"R",FALSE,1.53299999237061
5,"L",11.7411952381954,"R",TRUE,1.94400000572205
6,"L",9.51665784209035,"R",TRUE,1.42000007629395
7,"L",12.0883515593596,"R",TRUE,1.86399984359741
8,"R",8.33581165829673,"R",TRUE,2.26300001144409
9,"L",13.1180251331534,"R",TRUE,1.73400020599365
10,"L",9.60518515459262,"R",TRUE,1.43899989128113
11,"R",10.9909646641463,"L",TRUE,1.31299996376038
12,"R",11.8197849572171,"R",FALSE,1.53299999237061
13,"R",8.40787325147539,"L",FALSE,1.55400013923645
14,"L",10.7355953692459,"R",TRUE,1.43099999427795
15,"L",13.1263337922283,"R",TRUE,1.23699998855591
16,"L",14.8725574354175,"R",TRUE,1.22200012207031
17,"L",14.1496731620282,"R",TRUE,1.64800000190735
18,"L",8.56668539205566,"L",TRUE,2.27300000190735
19,"R",8.48632173729129,"R",TRUE,1.10800004005432
20,"R",10.8724632912781,"R",FALSE,1.21199989318848